The Elder Scrolls V: Skyrim,RPG,11/11/2011,PC,Bethesda Game Studios
Madden NFL 21,Sports,8/28/2020,Xbox One,EA Sports
Call of Duty: Black Ops Cold War,FPS,11/13/2020,Playstation 5,Treyarch
Super Mario Bros.,Platformer,9/13/1985,NES,Nintendo
Starcraft,RTS,3/31/1998,PC,Blizzard
Wii Sports Resort,Simulation,6/25/2009,Wii,Nintendo
Knack 2,Platformer,9/5/2017,PS4,Japan Studio
Undertale,RPG,9/15/2015,PC,Toby Fox
The Legend of Zelda: Breath of the Wild,Adventure,3/3/2017,Switch,Nintendo
Celeste,Platformer,1/25/2018,PC,Extremely OK Games
Minecraft,Sandbox,11/18/2011,PC,Mojang
Portal 2,Puzzle,4/18/2011,PC,Valve
Katana Zero,Action,4/18/2019,PC,Askiisoft
Hollow Knight,Metroidvania,2/24/2017,PC,Team Cherry
Factorio,Sandbox,8/14/2020,PC,Wube
Doom Eternal,FPS,3/20/2020,PC,Bethesda
Superhot,FPS,2/25/2016,PC,Superhot Team
Ori and the Will of the Wisps,Metroidvania,3/11/2020,PC,Moon Studios
Halo,FPS,11/15/2001,Xbox,Bungie
Geometry Dash,platformer,8/13/2013,iOS,RobTop
FTL,Strategy,9/14/2012,PC,Subset Games
Call of Duty: Black Ops Cold War,FPS,11/13/2020,Playstation 5,Treyarch
God of War,RPG,4/20/2018,PS4,Santa Monica Studio
Pikmin 3,RTS,7/13/2013,Wii U,Nintendo
